ID,Name,Year,Authors,DOI,Framing of Cognition-Awareness (copy lines here),AR/VR,Device Type,Device,Input,Cognitive State,Adaptation,Application,Adaption/ Objective (Textual),Stimulus,Feature (Metric),Blackbox (Textual),Spalte 1,Output (Textual),Method,"Sample (N Textual, if applicable)",Outcomes,Performance (Textual),System Maturity,Open Source,Bibtex
146,A brain-computer interface and augmented reality neurofeedback to treat ADHD: a virtual telekinesis approach - 2020 IEEE international symposium on mixed and augmented reality adjunct (ISMAR-adjunct),2020,"Rajshekar Reddy, G.S.; G.M., Lingaraju",https://doi.org/10.1109/ISMAR-Adjunct51615.2020.00045,A context-aware AR neurofeedback game that adapts visual feedback to the user's EEG-measured psychological state to improve ADHD treatment efficacy.,Augmented Reality (AR),Head-Mounted Display (HMD),No Info,Electroencephalography (EEG),Arousal,Stimuli,Health/Rehabilitation,,na,EEG,Calculates theta beta wave ratio TBR and changes objects accoring to that ratio,,"Inflate/deflate ballon, bend spoon",None,0,None,,Prototype,No Info,"@article{rajshekarreddyBraincomputerInterfaceAugmented2020,
  title = {A Brain-Computer Interface and Augmented Reality Neurofeedback to Treat {{ADHD}}: A Virtual Telekinesis Approach - 2020 {{IEEE}} International Symposium on Mixed and Augmented Reality Adjunct ({{ISMAR-adjunct}})},
  author = {Rajshekar Reddy, G.S. and G.M., Lingaraju},
  year = 2020,
  month = nov,
  journal = {2020 IEEE international symposium on mixed and augmented reality adjunct (ISMAR-adjunct)},
  pages = {123--128},
  doi = {10.1109/ISMAR-Adjunct51615.2020.00045},
  abstract = {Attention-Deficit/Hyperactivity Disorder or ADHD poses a severe concern for today's youth, especially when the costs, efficacy, side effects of medication and the lack of immediate risk discourage treatment. ADHD causes people to make impulsive decisions, making it harder to succeed in school, work, and other aspects of life. Neurofeedback Therapy has shown promising results as an alternative in treating mental disorders and improving cognition. It leverages the inherent mechanism of operant conditioning by presenting real-time feedback of the user's brainwave activity, which is usually acquired via an EEG. However, long sessions of monotonous feedback have proven tedious, and users lose motivation to continue. Engaging graphical interfaces and games have been developed to combat this issue and have been proven to improve the treatment's efficacy. In this work, we extend upon these methods to increase engagement by employing Augmented Reality in the context of a virtual telekinetic game. The system comprises three modules: an Emotiv headset for EEG acquisition, MATLAB for signal processing, and an AR mobile application to deliver the feedback. The hardware and software implementation, the signal processing methodology, and the Neurofeedback protocol are thoroughly outlined. Our next step is to conduct a pilot study with a subset of healthy children to evaluate the complexity of the process.},
  chapter = {0},
  keywords = {AR,Augment...,Electroencephalography,Games,IEEE,Medical treatment,Neurofeedback,Pediatrics,Psychology,Signal processing,social and behavioral sciences}
}"
105,A novel neurofeedback attentional enhancement approach based on virtual reality,2022,"Lu, Kai; Yueh, Kang; Hu, Haochen; Guo, Mei; Liu, Yue",https://doi.org/10.1109/EMBC48229.2022.9871019,"In this paper, we propose a novel neurofeedback attentional enhancement approach based on VR.",Virtual Reality (VR),Head-Mounted Display (HMD),HTC Vive Pro,Electroencephalography (EEG),Attention,Task Adjustment,Work/Performance,Task got harder if participant showed less attention,Identification of spheres by color,Alpha Power,"Alpha power measured, simple threshold",,Spheres that had to be followed became more transparent if attention was low,Quantitative (Participant Study),18,Effectiveness,"Alpha band reduced significantly, task performance improved slightly",Prototype,No Info,"@inproceedings{luNovelNeurofeedbackAttentional2022,
  title = {A Novel Neurofeedback Attentional Enhancement Approach Based on Virtual Reality},
  booktitle = {2022 44th Annual International Conference of the {{IEEE}} Engineering in Medicine \& Biology Society ({{EMBC}})},
  author = {Lu, Kai and Yueh, Kang and Hu, Haochen and Guo, Mei and Liu, Yue},
  year = 2022,
  month = jul,
  pages = {5140--5143},
  doi = {10.1109/EMBC48229.2022.9871019},
  abstract = {Attention enhancement can not only improve individual's study and work performance, but also help to improve such psychological problems as anxiety and depression. Traditional attention enhancement approaches have high requirements on the external environment, and thus have such limitations as long intervention periods, high costs, poor universality, and insignificant therapeutic effects. Virtual Reality (VR) can provide interactive and immersive environments, which can help to break through these limitations and effectively enhance users' attention. In this paper, we propose a novel neurofeedback attentional enhancement approach based on VR. The proposed approach utilizes the {$\alpha$} band power in the parieto-occipital regions of the brain as an neurofeedback index of the users' attention, and prompts users by changing the attributes of the VR environment. Statistical results show that the {$\alpha$} band power reduces significantly in neurofeedback group compared with that in control group. Accordingly, task performances in neruofeedback group are improved by 6.44},
  chapter = {0},
  keywords = {Anxiety disorders,Biology,Costs,Depression,IEEE,Psychology,Training,Virtual reality}
}"
166,A study on real-time stress detection in virtual reality using a stealth game - 2025 IEEE conference on games (CoG),2025,"Brambilla, Susanna; Moghadam, Sadra Heidary; Ripamonti, Laura; Lanzi, Pier Luca",https://doi.org/10.1109/CoG64752.2025.11114308,,Virtual Reality (VR),Head-Mounted Display (HMD),Meta Quest Pro,"Eye-Tracking: Gaze, Heart Rate (HR)",Stress,Stimuli,Recreation,Change game elements according to stress as a gamified element,,,Kalman filter,,Game elements like NPCs,Qualitative (Participant Study),21,"Effectiveness, Usability",Immersiveness and innovativeness positive,Prototype,No Info,"@article{brambillaStudyRealtimeStress2025,
  title = {A Study on Real-Time Stress Detection in Virtual Reality Using a Stealth Game - 2025 {{IEEE}} Conference on Games ({{CoG}})},
  author = {Brambilla, Susanna and Moghadam, Sadra Heidary and Ripamonti, Laura and Lanzi, Pier Luca},
  year = 2025,
  month = aug,
  journal = {2025 IEEE conference on games (CoG)},
  pages = {1--8},
  issn = {2325-4289},
  doi = {10.1109/CoG64752.2025.11114308},
  abstract = {We present a study on stress detection in virtual reality using The Last Secret, a stealth game we developed that integrates advanced multimodal stress detection techniques and in-game behavioral metrics. Our game responds to the player's emotional state and stress levels, dynamically adapting its gameplay in real-time. Players need to manage their stress to navigate the game effectively: maintaining calmness keeps them in an optimal flow state, whereas excessive stress can push them into a frustrating state, making progression significantly more difficult. We present experimental results showing the impact of stress-modulated gameplay on player engagement and performance, revealing findings aligned with the flow theory.},
  chapter = {0},
  keywords = {Anxiety disorders,Games,IEEE,Kalman f...,Navigation,Physiology,Real-time systems,Tracking,Virtual reality}
}"
41,Adapting visual complexity based on electrodermal activity improves working memory performance in virtual reality,2023,"Chiossi, Francesco; Turgut, Yagiz; Welsch, Robin; Mayer, Sven",https://doi.org/10.1145/3604243,our physiologically adaptive system improves task performance and perceived workload,Virtual Reality (VR),Head-Mounted Display (HMD),HTC Vive Pro,Electrodermal Activity (EDA),Arousal,Task Adjustment,Work/Performance,adapt surrounding visual complexity based on arousal,n-back task,raw EDA signal -> extract tonic component (SCL),Rolling Window Approach,,"more/less surrounding visual complexity, not directly of task itself","Qualitative (Participant Study), Quantitative (Participant Study)",20,Effectiveness,improves task performance and perceived workload,Prototype,Code Available,"@article{chiossiAdaptingVisualComplexity2023,
  title = {Adapting Visual Complexity Based on Electrodermal Activity Improves Working Memory Performance in Virtual Reality},
  author = {Chiossi, Francesco and Turgut, Yagiz and Welsch, Robin and Mayer, Sven},
  year = 2023,
  journal = {Proc. ACM Hum.-Comput. Interact.},
  volume = {7},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3604243},
  abstract = {Biocybernetic loops encompass users' state detection and system adaptation based on physiological signals. Current adaptive systems limit the adaptation to task features such as task difficulty or multitasking demands. However, virtual reality allows the manipulation of task-irrelevant elements in the environment. We present a physiologically adaptive system that adjusts the virtual environment based on physiological arousal, i.e., electrodermal activity. We conducted a user study with our adaptive system in social virtual reality to verify improved performance. Here, participants completed an n-back task, and we adapted the visual complexity of the environment by changing the number of non-player characters. Our results show that an adaptive virtual reality can control users' comfort, performance, and workload by adapting the visual complexity based on physiological arousal. Thus, our physiologically adaptive system improves task performance and perceived workload. Finally, we embed our findings in physiological computing and discuss applications in various scenarios.},
  chapter = {0},
  keywords = {ACM,adaptive systems,electrodermal activity,physiological computing,virtual reality,visual complexity,working memory}
}"
153,Adaptive federated learning for personalised affective pain management - 2025 international conference on advanced machine learning and data science (AMLDS),2025,"Bondin, Luca; Dingli, Alexiei",https://doi.org/10.1109/AMLDS63918.2025.11159471,,Virtual Reality (VR),Head-Mounted Display (HMD),,"Heart Rate Variability (HRV), Heart Rate (HR)",Arousal,Stimuli,Health/Rehabilitation,Keep flow high to help distract from pain,,,"time-domain, RMSSD",,No idea what they change in the environment,Quantitative (Participant Study),,Effectiveness,Seems more effective than passive VR distractions,Prototype,No Info,"@article{bondinAdaptiveFederatedLearning2025,
  title = {Adaptive Federated Learning for Personalised Affective Pain Management - 2025 International Conference on Advanced Machine Learning and Data Science ({{AMLDS}})},
  author = {Bondin, Luca and Dingli, Alexiei},
  year = 2025,
  month = jul,
  journal = {2025 international conference on advanced machine learning and data science (AMLDS)},
  pages = {193--199},
  doi = {10.1109/AMLDS63918.2025.11159471},
  abstract = {Conventional pain management strategies, particularly those relying on prolonged pharmaceutical interventions, are often burdened by adverse side effects and the development of tolerance. This study introduces an innovative, non-pharmacological framework integrating advanced machine learning techniques with immersive virtual reality (VR) distraction therapy. Central to our approach is a closed-loop, data-driven system that leverages affective computing to continuously monitor physiological indicators--- such as heart rate variability (HRV) and beats per minute (BPM)---using non-intrusive wearable sensors. These real-time measurements inform a compact neural network deployed on each device, which is dynamically updated via a federated learning scheme. This distributed learning paradigm allows the global model to aggregate local updates while preserving patient privacy, thereby enhancing the personalised adaptation of the VR environment to the patient's emotional state.The adaptive system is designed to maintain the patient within an optimal `flow' state, effectively distracting from pain signals by tailoring the immersive experience in real time. In a controlled experiment employing a modified sphygmomanometer test, our approach demonstrated a 23},
  chapter = {0},
  keywords = {Adaptation models,Affective computing,Federated learning,IEEE,Immersive experience...,Pain,Solid modeling}
}"
80,Adaptive virtual environments for neuropsychological assessment in serious games,2012,"Parsons, Thomas D.; Reinebold, James L.",https://doi.org/10.1109/TCE.2012.6227413,"We present an iteration of the Virtual Reality for Cognitive Performance and Adaptive Treatment (VRCPAT) that proffers a framework for adapting scenarios in a game engine based upon the user’s neurocognitive (task performance) and psychophysiological (e.g., heart rate,  skin response, heart rate, and pupil diameter) states",Virtual Reality (VR),Head-Mounted Display (HMD),No Info,"Electrocardiogram (ECG), Electrodermal Activity (EDA), Respiration, Eye-Tracking: Pupil Dilation","Cognitive Load/Workload, Arousal",Task Adjustment,Work/Performance,,"military simulation, stroop task","interbeat intervals (IBIs) of cardiorespiratory activity, skin conductance response levels (SCLs), spontaneous fluctuations of electrodermal activity (SFs), interbreath interval (IBrI) from respiration data, median pupil radius (EOG) ",,,Severity of stimuli in the virtual environment and task difficulty. ,None,0,None,,Prototype,No Info,"@article{parsonsAdaptiveVirtualEnvironments2012,
  title = {Adaptive Virtual Environments for Neuropsychological Assessment in Serious Games},
  author = {Parsons, Thomas D. and Reinebold, James L.},
  year = 2012,
  month = may,
  journal = {IEEE Transactions on Consumer Electronics},
  volume = {58},
  number = {2},
  pages = {197--204},
  issn = {1558-4127},
  doi = {10.1109/TCE.2012.6227413},
  abstract = {While advances in military relevant simulations provide potential for increasing assessment of Soldier readiness to Return-to-Duty (e.g., following a blast injury), little has been done to develop these simulations into adaptive virtual environments (AVE) for improved neurocognitive and psychophysiological assessment. Adaptive assessments offer the potential for dynamically adapting the difficulty level specific to the patient's knowledge or ability. We present an iteration of the Virtual Reality for Cognitive Performance and Adaptive Treatment (VRCPAT) that proffers a framework for adapting scenarios in a game engine based upon the user's neurocognitive (task performance) and psychophysiological (e.g., heart rate, skin response, heart rate, and pupil diameter) states.},
  chapter = {0},
  keywords = {Adaptive Virtual Environment,Feature extraction,Games,Heart rate,Hidden Markov models,IEEE,Neuropsychological Assessment,Neuroscience,Psychophysiology,Skin,Solid modeling,Virtual environments}
}
"
164,AdaptiveCoPilot: Design and testing of a NeuroAdaptive LLM cockpit guidance system in both novice and expert pilots - 2025 IEEE conference virtual reality and 3D user interfaces (VR),2025,"Wen, Shaoyue; Middleton, Michael; Ping, Songming; Chawla, Nayan N.; Wu, Guande; Feest, Bradley S.; Nadri, Chihab; Liu, Yunmei; Kaber, David; Zahabi, Maryam; McMahan, Ryan P.; Castelo, Sonia; McKendrick, Ryan; Qian, Jing; Silva, Cláudio T.",https://doi.org/10.1109/VR59515.2025.00088,,Virtual Reality (VR),"Head-Mounted Display (HMD), Miscellaneous",,Functional Near-Infrared Spectroscopy (fNIRS),Cognitive Load/Workload,Guidance/Notification,Work/Performance,Give textual information with context,,,,,"selected modality and the specific instructional load, tailored to the pilot’s current cognitive workload state and task instructions","Quantitative (Participant Study), Qualitative (Participant Study)",13,"Effectiveness, Usability","Better perception, less errors",Prototype,No Info,"@article{wenAdaptiveCoPilotDesignTesting2025,
  title = {{{AdaptiveCoPilot}}: {{Design}} and Testing of a {{NeuroAdaptive LLM}} Cockpit Guidance System in Both Novice and Expert Pilots - 2025 {{IEEE}} Conference Virtual Reality and {{3D}} User Interfaces ({{VR}})},
  author = {Wen, Shaoyue and Middleton, Michael and Ping, Songming and Chawla, Nayan N. and Wu, Guande and Feest, Bradley S. and Nadri, Chihab and Liu, Yunmei and Kaber, David and Zahabi, Maryam and McMahan, Ryan P. and Castelo, Sonia and McKendrick, Ryan and Qian, Jing and Silva, Cl{\'a}udio T.},
  year = 2025,
  month = mar,
  journal = {2025 IEEE conference virtual reality and 3D user interfaces (VR)},
  pages = {656--666},
  issn = {2642-5254},
  abstract = {Pilots operating modern cockpits often face high cognitive demands due to complex interfaces and multitasking requirements, which can lead to overload and decreased performance. This study introduces AdaptiveCoPilot, a neuroadaptive guidance system that adapts visual, auditory, and textual cues in real time based on the pilot's cognitive workload, measured via functional Near-Infrared Spectroscopy (fNIRS). A formative study with expert pilots (N=3) identified adaptive rules for modality switching and information load adjustments during preflight tasks. These insights informed the design of AdaptiveCoPilot, which integrates cognitive state assessments, behavioral data, and adaptive strategies within a context-aware Large Language Model (LLM). The system was evaluated in a virtual reality (VR) simulated cockpit with licensed pilots (N=8), comparing its performance against baseline and random feedback conditions. The results indicate that the pilots using AdaptiveCoPilot exhibited higher rates of optimal cognitive load states on the facets of working memory and perception, along with reduced task completion times. Based on the formative study, experimental findings, qualitative interviews, we propose a set of strategies for future development of neuroadaptive pilot guidance systems and highlight the potential of neuroadaptive systems to enhance pilot performance and safety in aviation environments.},
  chapter = {0},
  keywords = {Adaptive systems,Cogniti...,IEEE,Three-dimensional displays,User interfaces,Virtual reality,Visualization}
}
"
90,Affect-driven VR environment for increasing muscle activity in assisted gait rehabilitation,2024,"Rodriguez, Jafet; del-Valle-Soto, Carolina; Gonzalez-Sanchez, Javier",https://doi.org/10.1109/ACCESS.2024.3412108,"Affect-Driven VR Environment (brain-computer interface tracking his affective states encompassing engagement, boredom, meditation, frustration, and excitement)",Virtual Reality (VR),Head-Mounted Display (HMD),Meta Quest 2,Electroencephalography (EEG),Emotions/Affect,"Task Adjustment, Stimuli",Health/Rehabilitation,,no specific stimulus to manipulate variables,analysis provided by Affect-Driven Self-Adaptive System (ADAS) ,,,"music, illumination, visual aid",Quantitative (Participant Study),27,Usability,"The efficiency of the control group was 42.97%; meanwhile, theexperimental group had 54.25%, which is an increase of 26.25%. Also, four two-sample t-tests were performed to compare engagement, excitement, frustration, and subject’s effort time in a control and experimental group during the second and third sessions. For engagement, there was not a significant difference between the control group and the experimental group; in contrast, there was a significant difference for excitement, frustration, and effort time",Prototype,No Info,"@article{rodriguezAffectdrivenVREnvironment2024,
  title = {Affect-Driven {{VR}} Environment for Increasing Muscle Activity in Assisted Gait Rehabilitation},
  author = {Rodriguez, Jafet and {del-Valle-Soto}, Carolina and {Gonzalez-Sanchez}, Javier},
  year = 2024,
  journal = {IEEE access : practical innovations, open solutions},
  volume = {12},
  pages = {81593--81607},
  issn = {2169-3536},
  doi = {10.1109/ACCESS.2024.3412108},
  abstract = {In recent years, the focus on gait therapy research has intensified, driven by a desire to enhance session efficiency. Accelerating rehabilitation timelines is imperative to accommodate a larger patient population annually. For instance, the Centro de Rehabilitacion Infantil Teleton, a prominent rehabilitation center in Mexico, operates at total capacity, leading to patient rejections. The acceleration of rehabilitation relies on encouraging patients to engage in active muscle efforts. Significant strides have been made in this direction, leveraging motivational techniques like virtual reality. However, a crucial aspect that requires attention is the customization of the environment to adapt to the evolving motivational states of patients. This personalized approach is an essential dimension that remains to be fully explored. Our research addresses this gap by introducing a rehabilitation scenario with a patient in a walking machine while immersed in a virtual reality environment and having a brain-computer interface tracking his affective states encompassing engagement, boredom, meditation, frustration, and excitement. The virtual reality environment dynamically adjusts in real-time using affect to trigger motivational stimuli. A study involving 27 participants, with 13 in the control group and 14 in the experimental group, showed the potential of this approach. The results indicate a significant improvement in the active effort for subjects in the experimental group, yielding an efficiency increase of 54.25},
  chapter = {0},
  keywords = {adaptive feedback system,affective computing,Affective computing,BCI,Exoskeletons,HCI,IEEE,Legged locomotion,Medical treatment,Patient rehabilitation,rehabilitation,robot-assisted gait training,Robots,Training,unity3d,Virtual reality}
}"
185,An EEG-based positive feedback mechanism for VR mindfulness meditation to improve emotion regulation,2025,"Wang, Qing; Liu, Fang; Yang, Baorong; Yang, Zheyuan; Huang, Jingyan; Xu, Yuxin; Zheng, Chengcheng; She, Yingying; Cai, Hanshu; Tian, Fuze",https://doi.org/10.1109/TCSS.2025.3557711,,Virtual Reality (VR),Head-Mounted Display (HMD),,Electroencephalography (EEG),Emotions/Affect,"Stimuli, Guidance/Notification",Recreation,Relaxation is measured and depening on it the environment changes and feedback is given,,,Sliding window approach to calculate a relaxation index,,"Some form of feedback given, VR elements are changed","Quantitative (Participant Study), Qualitative (Participant Study)",36,Effectiveness,resting state on both Fp1 and Fp2 channels before and after the intervention reflected an increase in relaxation by more than 90%,Prototype,No Info,"@article{wangEEGbasedPositiveFeedback2025,
  title = {An {{EEG-based}} Positive Feedback Mechanism for {{VR}} Mindfulness Meditation to Improve Emotion Regulation},
  author = {Wang, Qing and Liu, Fang and Yang, Baorong and Yang, Zheyuan and Huang, Jingyan and Xu, Yuxin and Zheng, Chengcheng and She, Yingying and Cai, Hanshu and Tian, Fuze},
  year = 2025,
  month = oct,
  journal = {IEEE Transactions on Computational Social Systems},
  volume = {12},
  number = {5},
  pages = {3311--3323},
  issn = {2329-924X},
  abstract = {Virtual reality (VR) mindfulness meditation has emerged as a prominent emotion regulation strategy in recent years. Current research often seeks to enhance meditation effectiveness through biofeedback and overlooks the trajectory of emotional changes and the changing needs during regulation. In this study, we propose an electroencephalography (EEG)--based positive feedback mechanism for VR mindfulness meditation aimed at optimizing the effects of emotion regulation. This mechanism consists of three modules: 1) EEG-based emotional state computation; 2) process-based relaxation assessment; and 3) adaptive positive decision feedback. Collectively, these components form a computation-assessment-feedback closed-loop system that objectively quantifies emotions while enabling real-time decision adjustments based on emotional trends, thereby enhancing user engagement and emotion regulation efficacy through personalized feedback. The contribution of the proposed feedback mechanism was evaluated through a randomized controlled trial (N = 36). The results indicated that both physiological measures and self-reported relaxation significantly increased when compared to interventions without feedback. These findings validate that the EEG-based positive feedback mechanism effectively enhances emotion regulation while providing additional insights into improving both the engagement and effectiveness within digital mental health interventions.},
  chapter = {0},
  keywords = {Biological control systems,Biomedical monitor...,Electroencephalography,IEEE,Real-time systems,Regulation}
}"
179,An electroencephalography-based brain–computer interface for emotion regulation with virtual reality neurofeedback,2024,"Li, Kendi; Huang, Weichen; Gao, Wei; Guan, Zijing; Huang, Qiyun; Yu, Jin-Gang; Yu, Zhu Liang; Li, Yuanqing",https://doi.org/10.1109/TCDS.2024.3357547,,Virtual Reality (VR),Desktop,,Electroencephalography (EEG),Emotions/Affect,Stimuli,Miscellaneous,Help participants with emotion regulation,,,three-class SVM classifier,,Facial emotion of virtual popstar changed according to emotional state of participant,Quantitative (Participant Study),18,Effectiveness,overall accuracy increased,Prototype,No Info,"@article{liElectroencephalographybasedBrainComputer2024,
  title = {An Electroencephalography-Based Brain--Computer Interface for Emotion Regulation with Virtual Reality Neurofeedback},
  author = {Li, Kendi and Huang, Weichen and Gao, Wei and Guan, Zijing and Huang, Qiyun and Yu, Jin-Gang and Yu, Zhu Liang and Li, Yuanqing},
  year = 2024,
  month = aug,
  journal = {IEEE Transactions on Cognitive and Developmental Systems},
  volume = {16},
  number = {4},
  pages = {1405--1417},
  issn = {2379-8939},
  doi = {10.1109/TCDS.2024.3357547},
  abstract = {An increasing number of people fail to properly regulate their emotions for various reasons. Although brain--computer interfaces (BCIs) have shown potential in neural regulation, few effective BCI systems have been developed to assist users in emotion regulation. In this article, we propose an electroencephalography (EEG)-based BCI for emotion regulation with virtual reality (VR) neurofeedback. Specifically, music clips with positive, neutral, and negative emotions were first presented, based on which the participants were asked to regulate their emotions. The BCI system simultaneously collected the participants' EEG signals and then assessed their emotions. Furthermore, based on the emotion recognition results, the neurofeedback was provided to participants in the form of a facial expression of a virtual pop star on a three-dimensional (3-D) virtual stage. Eighteen healthy participants achieved satisfactory performance with an average accuracy of 81.1},
  chapter = {0},
  keywords = {Brai...,Electroencephalography,IEEE,Neurofeedback,Real-time systems,Regulation,Three-dimensional displays}
}
"
